institution_name,domain,organization_name,duration_weeks,stipend_amount,mode,is_ppo_linked,program_source,description
"Sharda Institute of Engineering and Management, Vadodara",Vendor Risk,NTPC,6,7372,online,False,General,"Support data collection, analysis and reporting for the vendor risk practice at Sahni-Bail."
"Kalinga Engineering College, Nagpur",Shopper Insights,Adani Green Energy,9,14860,hybrid,True,General,Collaborate across teams on shopper insights initiatives; present findings to stakeholders.
"Thapar Engineering College, Ajmer",Change Data Capture,UNDP India,7,10907,offline,False,General,Collaborate across teams on change data capture initiatives; present findings to stakeholders.
"Lokmanya College of Pharmacy and Research, Ghaziabad",WAF,HCL Technologies,8,0,offline,False,General,Collaborate across teams on waf initiatives; present findings to stakeholders.
"Government College of Management Studies, Kurnool",Platform Governance,IBM India,6,6721,offline,False,General,"Assist senior engineers/researchers on platform governance tasks, from requirements to testing and delivery."
"D.Y. Patil Institute of Technology and Science, Patiala",Message Broker,Bharti Airtel,6,6226,hybrid,False,General,"Support data collection, analysis and reporting for the message broker practice at Memon Ltd."
"Hindustan Institute of Business Management, Junagadh",Multimodal Models,Kotak Mahindra Bank,7,14291,hybrid,True,TULIP,Learn industry workflows in multimodal models while supporting day-to-day operations and quality checks.
"PES Polytechnic College, Panipat",Skill Development,Tata Power,9,0,online,False,General,"Work on live projects with the Bir, Vala and Narang skill development team; contribute to sprint deliverables and documentation."
"PES Polytechnic College, Panipat",Astrophysics,LinkedIn India,8,4949,offline,False,General,"Hands-on astrophysics internship: build, test and ship a real feature under a mentor."
"Sathyabama Institute of Polytechnic, Purnia",Six Sigma,Zoho Corporation,6,0,hybrid,True,TULIP,Work on live projects with the Samra Group six sigma team; contribute to sprint deliverables and documentation.
"Government College of Management Studies, Tezpur",NGO Operations,Bajaj Finance,9,4096,offline,False,Indian Army,"Support data collection, analysis and reporting for the ngo operations practice at More, Panchal and Wali."
"Government Engineering College, Thiruvananthapuram",Containerization,Tata Motors,7,0,hybrid,True,General,"Support data collection, analysis and reporting for the containerization practice at Keer Ltd."
"Government Engineering College, Indore",Geology,State Bank of India,7,0,online,False,General,Collaborate across teams on geology initiatives; present findings to stakeholders.
"Government College of Management Studies, Kurnool",Retail Analytics,ABB India,7,11173,hybrid,False,General,"Support data collection, analysis and reporting for the retail analytics practice at Dasgupta-Khanna."
"Vaagdevi Institute of Science and Technology, Rewa",Data Visualization,ONGC,7,9531,hybrid,False,General,Work on live projects with the Kata-Seshadri data visualization team; contribute to sprint deliverables and documentation.
"Jain College of Pharmacy, Ujjain",Go-live Support,ONGC,7,7203,offline,False,General,"Support data collection, analysis and reporting for the go-live support practice at Pal Group."
"Sardar Institute of Business Management, Kanpur",Account Takeover,Tata Power,8,0,offline,False,General,Collaborate across teams on account takeover initiatives; present findings to stakeholders.
"K.S.R. Institute of Science and Technology, Raipur",Space Debris,Google India,7,4780,offline,False,General,"Support data collection, analysis and reporting for the space debris practice at Dani Group."
"Anurag Institute of Engineering and Management, Ahmedabad",Warehouse Automation,Trent (Westside),8,3654,offline,False,General,"Assist senior engineers/researchers on warehouse automation tasks, from requirements to testing and delivery."
"Government Institute of Management, Tirunelveli",Green Bonds,Zoho Corporation,8,5513,offline,False,General,"Work on live projects with the Nigam, Mutti and Balakrishnan green bonds team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Rajkot",Sanctions Screening,AICTE Internship Cell,8,0,hybrid,False,CDAC,"Support data collection, analysis and reporting for the sanctions screening practice at Kadakia-Ganguly."
"Ideal Business School, North Delhi",Economics Research,P&G India,9,13125,offline,False,General,"Support data collection, analysis and reporting for the economics research practice at Shere-Das."
"Government Institute of Applied Arts, West Delhi",Chaos Engineering,Tata Consultancy Services,9,6330,offline,False,General,Collaborate across teams on chaos engineering initiatives; present findings to stakeholders.
"Nitte College of Engineering, Meerut",Prompt Engineering,ICICI Bank,7,6310,online,False,General,"Assist senior engineers/researchers on prompt engineering tasks, from requirements to testing and delivery."
"Sinhgad Institute of Science and Technology, Hubballi",Railway Operations,Cure.fit,9,13488,offline,False,General,"Hands-on railway operations internship: build, test and ship a real feature under a mentor."
"Government School of Architecture, Nagpur",ISO 9001,NITI Aayog,8,0,offline,False,General,"Hands-on iso 9001 internship: build, test and ship a real feature under a mentor."
"Thapar School of Business Administration, Vijayawada",Event Management,C-DAC,8,11431,offline,False,General,"Work on live projects with the Shankar, Keer and Narayan event management team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Madurai",Artificial Intelligence,Reliance Industries,7,13227,offline,True,TULIP,"Assist senior engineers/researchers on artificial intelligence tasks, from requirements to testing and delivery."
"Government College of Management Studies, Tezpur",Neural Search,Rapido,9,8872,hybrid,False,General,"Hands-on neural search internship: build, test and ship a real feature under a mentor."
"Amity Business School, Kannur",Master Data,Ola,8,0,hybrid,False,General,Work on live projects with the Ben-Jain master data team; contribute to sprint deliverables and documentation.
"Amrita Institute of Pharmaceutical Sciences, Solapur",Border Control,State Bank of India,9,11165,offline,False,TULIP,"Hands-on border control internship: build, test and ship a real feature under a mentor."
"Government Institute of Management, Solapur",Traffic Simulation,TVS Motor,7,12469,hybrid,False,General,"Support data collection, analysis and reporting for the traffic simulation practice at Rana-Dar."
"Vaagdevi School of Architecture, Sagar",Virtual Reality,LinkedIn India,6,12466,online,False,TULIP,Learn industry workflows in virtual reality while supporting day-to-day operations and quality checks.
"Kalasalingam Institute of Technology and Science, Pune",Vaccine Development,NTPC,6,0,offline,False,General,Learn industry workflows in vaccine development while supporting day-to-day operations and quality checks.
"Government Engineering College, Thiruvananthapuram",Media Planning,Hero MotoCorp,6,0,offline,False,General,"Support data collection, analysis and reporting for the media planning practice at Jain and Sons."
"Srinivasa Institute of Engineering and Management, Anantapur",Pharmaceutical Research,Adani Group,7,12247,offline,False,General,Work on live projects with the Oommen Inc pharmaceutical research team; contribute to sprint deliverables and documentation.
"Government Institute of Management, Karimnagar",Startup Mentoring,LinkedIn India,6,8000,offline,False,General,Collaborate across teams on startup mentoring initiatives; present findings to stakeholders.
"Government Engineering College, Indore",Non-destructive Testing,Reliance Industries,6,14098,hybrid,True,General,"Assist senior engineers/researchers on non-destructive testing tasks, from requirements to testing and delivery."
"Kongu Institute of Engineering and Management, Guwahati",Market Research,ICICI Bank,7,0,online,False,General,"Work on live projects with the Mane, Dixit and Bhagat market research team; contribute to sprint deliverables and documentation."
"Aditya Institute of Pharmaceutical Sciences, Meerut",Defence Analysis,Hero MotoCorp,6,0,online,True,CDAC,Work on live projects with the Krish Group defence analysis team; contribute to sprint deliverables and documentation.
"Galgotias Institute of Engineering and Polytechnic, Haridwar",Customer Identity,National Skill Development Corporation,6,5543,online,True,General,Collaborate across teams on customer identity initiatives; present findings to stakeholders.
"Hindustan Institute of Business Management, Junagadh",Harbour Engineering,Bharat Electronics,8,14369,offline,False,General,"Assist senior engineers/researchers on harbour engineering tasks, from requirements to testing and delivery."
"Government Institute of Management, Tirunelveli",Process Excellence,Dabur,6,0,online,True,General,"Work on live projects with the Master, Babu and Mital process excellence team; contribute to sprint deliverables and documentation."
"Anurag Institute of Technology and Science, Jaipur",Superconductors,Reliance Jio,9,7712,online,False,General,"Support data collection, analysis and reporting for the superconductors practice at Bhavsar and Sons."
"Government Engineering College, Shimla",Polymer Science,Voltas,7,10877,online,False,General,"Assist senior engineers/researchers on polymer science tasks, from requirements to testing and delivery."
"VIT Institute of Technology, Ranchi",Consumer Research,Siemens India,7,7329,offline,False,General,"Support data collection, analysis and reporting for the consumer research practice at Warrior-Tailor."
"Geethanjali Institute of Technology, Kanpur",Cryo-EM,Lafarge India,9,3081,hybrid,True,General,Collaborate across teams on cryo-em initiatives; present findings to stakeholders.
"Matrusri School of Business Administration, Khammam",Edge Computing,Suzlon,7,0,online,False,General,"Work on live projects with the Amble, Ramaswamy and Dube edge computing team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Vizianagaram",Aviation Management,Bharti Airtel,8,11084,offline,False,General,"Support data collection, analysis and reporting for the aviation management practice at Manda and Sons."
"Shri College of Engineering and Technology, Vizianagaram",Augmented Reality,Hindalco,7,0,offline,False,General,"Work on live projects with the Majumdar, Nagar and Mand augmented reality team; contribute to sprint deliverables and documentation."
"Sinhgad Institute of Science and Technology, Ballari",Healthtech,Tata Consultancy Services,8,0,offline,False,General,Learn industry workflows in healthtech while supporting day-to-day operations and quality checks.
"K.S.R. Institute of Science and Technology, Raipur",Construction Management,Freshworks,6,7164,online,True,General,"Support data collection, analysis and reporting for the construction management practice at Borra Inc."
"Kalasalingam School of Planning and Architecture, Lucknow",LTV Prediction,ServiceNow India,9,11999,offline,True,Indian Army,"Work on live projects with the Nayar, Krishna and Chanda ltv prediction team; contribute to sprint deliverables and documentation."
"Government Engineering College, Vijayawada",OAuth,Vedanta,8,0,hybrid,False,General,"Hands-on oauth internship: build, test and ship a real feature under a mentor."
"Amity Engineering College, Karimnagar",Robotics,LTIMindtree,9,13081,offline,False,General,Learn industry workflows in robotics while supporting day-to-day operations and quality checks.
"Anurag Polytechnic, Amritsar",Learning to Rank,Lafarge India,9,0,online,False,General,"Support data collection, analysis and reporting for the learning to rank practice at Din-Memon."
"K.S.R. Institute of Technology and Science, Mangaluru",Service Mesh,Nestle India,8,13773,offline,False,General,Learn industry workflows in service mesh while supporting day-to-day operations and quality checks.
"Matrusri Institute of Engineering and Management, Srinagar",Cost Optimization,Havells,8,12682,online,False,General,Collaborate across teams on cost optimization initiatives; present findings to stakeholders.
"Sreenidhi College of Engineering, Amravati",TTS,Tata Steel,7,0,hybrid,False,General,Learn industry workflows in tts while supporting day-to-day operations and quality checks.
"Vignan Institute of Science and Technology, Allahabad",DDoS Mitigation,PhonePe,8,5986,offline,False,General,"Hands-on ddos mitigation internship: build, test and ship a real feature under a mentor."
"Sathyabama Institute of Polytechnic, Purnia",Ride Hailing,Titan Company,6,6162,hybrid,False,General,"Hands-on ride hailing internship: build, test and ship a real feature under a mentor."
"Sardar Institute of Business Management, Kanpur",Attack Surface Management,Oyo,9,0,offline,False,General,Collaborate across teams on attack surface management initiatives; present findings to stakeholders.
"Sharda Institute of Engineering and Management, Vadodara",Product Management,FedEx India,6,0,offline,False,General,Collaborate across teams on product management initiatives; present findings to stakeholders.
"Government Engineering College, Vellore",Policy as Code,Bajaj Auto,6,13042,offline,False,General,Learn industry workflows in policy as code while supporting day-to-day operations and quality checks.
"Manipal Institute of Engineering and Technology, Bilaspur",Cutover Planning,SAP Labs India,9,7237,offline,False,General,Learn industry workflows in cutover planning while supporting day-to-day operations and quality checks.
"Siddhartha Institute of Engineering and Polytechnic, Lucknow",Water Treatment,Tata Motors,7,6149,offline,False,General,"Support data collection, analysis and reporting for the water treatment practice at Chanda Ltd."
"SRM Engineering College, Karimnagar",Library Science,MakeMyTrip,8,0,offline,False,General,Learn industry workflows in library science while supporting day-to-day operations and quality checks.
"Government Engineering College, Bardhaman",Social Work,Hyundai India,7,8556,online,False,General,"Work on live projects with the Setty, Mallick and Gade social work team; contribute to sprint deliverables and documentation."
"NMAM Institute of Technology and Science, Mysuru",PKI,HCL Technologies,6,7088,offline,False,TULIP,"Support data collection, analysis and reporting for the pki practice at Bahl Group."
"Government Engineering College, Belagavi",Raft,MakeMyTrip,7,10849,offline,False,General,Collaborate across teams on raft initiatives; present findings to stakeholders.
"Sreenidhi Institute of Engineering and Management, Bengaluru",Data Migration,Bharti Airtel,8,11334,offline,False,General,Learn industry workflows in data migration while supporting day-to-day operations and quality checks.
"Matrusri Institute of Engineering and Management, Srinagar",Pricing Optimization,Tata Consultancy Services,8,0,offline,False,General,"Assist senior engineers/researchers on pricing optimization tasks, from requirements to testing and delivery."
"Government Institute of Management, Aurangabad",Instrumentation,Maruti Suzuki,7,0,online,False,TULIP,"Support data collection, analysis and reporting for the instrumentation practice at Baria-Wali."
"Government College of Engineering, Ludhiana",Corporate Governance,Larsen & Toubro,9,9582,online,True,General,"Assist senior engineers/researchers on corporate governance tasks, from requirements to testing and delivery."
"Government Institute of Pharmaceutical Sciences, Jalandhar",Natural Language Processing,DMart,7,0,online,False,General,Collaborate across teams on natural language processing initiatives; present findings to stakeholders.
"Anurag Institute of Science and Technology, Guntur",Fiscal Policy,Practo,6,0,offline,False,General,Collaborate across teams on fiscal policy initiatives; present findings to stakeholders.
"Government Engineering College, Nashik",Assistive Technology,BYJU'S,7,12629,offline,False,General,"Assist senior engineers/researchers on assistive technology tasks, from requirements to testing and delivery."
"Girijananda Chowdhury Institute of Management and Technology, Faridabad",Dead Letter Queue,Cure.fit,6,10934,hybrid,False,General,Collaborate across teams on dead letter queue initiatives; present findings to stakeholders.
"Jain College of Pharmacy, Ujjain",Employer Branding,Bajaj Auto,8,10023,hybrid,False,General,Learn industry workflows in employer branding while supporting day-to-day operations and quality checks.
"Government College of Engineering, Jabalpur",Augmented Reality,Netflix India,7,14157,offline,False,Indian Army,"Support data collection, analysis and reporting for the augmented reality practice at Srivastava Inc."
"Andhra Institute of Management Studies, Bokaro",Credit Risk,BigBasket,7,0,hybrid,False,General,"Assist senior engineers/researchers on credit risk tasks, from requirements to testing and delivery."
"Government College of Management Studies, Kurnool",CDN,Bajaj Finance,8,10337,offline,True,General,"Support data collection, analysis and reporting for the cdn practice at Rao, Kuruvilla and Bhatia."
"Government College of Engineering, Varanasi",Robotics,Axis Bank,6,0,offline,True,General,Collaborate across teams on robotics initiatives; present findings to stakeholders.
"G.L. Bajaj Institute of Management and Technology, Pune",Server Management,Adobe India,7,0,offline,True,General,Work on live projects with the Jayaraman-Kar server management team; contribute to sprint deliverables and documentation.
"Jain Institute of Technology, Ballari",Telecom Billing,Wipro,7,13881,offline,False,General,Work on live projects with the Vora PLC telecom billing team; contribute to sprint deliverables and documentation.
"Government Institute of Applied Arts, Jamshedpur",CDN,Salesforce India,8,4198,offline,False,General,"Support data collection, analysis and reporting for the cdn practice at Lanka, Mital and Sarraf."
"Government Engineering College, Kadapa",Data Governance,HCL Technologies,9,0,online,True,General,"Assist senior engineers/researchers on data governance tasks, from requirements to testing and delivery."
"Anurag Engineering College, Madurai",Food Technology,Myntra,6,14302,offline,False,TULIP,Work on live projects with the Behl Group food technology team; contribute to sprint deliverables and documentation.
"K.S.R. College of Engineering and Technology, Ghaziabad",AML Compliance,Swiggy,9,0,online,False,General,Work on live projects with the Kant Group aml compliance team; contribute to sprint deliverables and documentation.
"Lendi Institute of Polytechnic Studies, Tirunelveli",Risk-based Authentication,Airbnb India,9,9639,online,False,General,"Assist senior engineers/researchers on risk-based authentication tasks, from requirements to testing and delivery."
"Government College of Engineering, Siliguri",Wind Energy,Amazon India,7,14011,offline,False,TULIP,Work on live projects with the Sodhi Ltd wind energy team; contribute to sprint deliverables and documentation.
"Reva Institute of Technology, Gwalior",Aircraft Maintenance,ISRO,8,0,online,False,General,Work on live projects with the Rama Inc aircraft maintenance team; contribute to sprint deliverables and documentation.
"Srinivasa Institute of Engineering and Management, Anantapur",CVE Research,Lafarge India,6,14484,hybrid,False,General,Learn industry workflows in cve research while supporting day-to-day operations and quality checks.
"Thiagarajar Pharmacy College, Kolhapur",Federated Learning,Reliance Industries,9,7797,hybrid,False,General,"Hands-on federated learning internship: build, test and ship a real feature under a mentor."
"Raghu Institute of Management and Technology, Ghaziabad",3D Bioprinting,Blue Star,6,7362,hybrid,False,General,"Assist senior engineers/researchers on 3d bioprinting tasks, from requirements to testing and delivery."
"Karunya Institute of Technology and Science, Coimbatore",Low-code Development,PhonePe,9,5586,online,False,General,Work on live projects with the Hans Ltd low-code development team; contribute to sprint deliverables and documentation.
"Government Institute of Management, Panipat",Account Takeover,Razorpay,6,12812,hybrid,False,General,Learn industry workflows in account takeover while supporting day-to-day operations and quality checks.
"Hindustan Institute of Business Management, Junagadh",Dead Letter Queue,Dell Technologies,7,7672,hybrid,False,General,Learn industry workflows in dead letter queue while supporting day-to-day operations and quality checks.
"Vaagdevi Institute of Science and Technology, Rewa",Autoscaling,Adani Green Energy,8,8082,online,False,TULIP,Collaborate across teams on autoscaling initiatives; present findings to stakeholders.
"Vasavi Business School, Ballari",Nuclear Engineering,HCL Technologies,7,6040,online,False,General,Collaborate across teams on nuclear engineering initiatives; present findings to stakeholders.
"Reva Institute of Technology and Science, Howrah",Major Incident,Unacademy,7,8988,online,False,General,Learn industry workflows in major incident while supporting day-to-day operations and quality checks.
"Malla Reddy Institute of Technology, Chennai",Content Writing,ReNew Power,7,4205,offline,False,TULIP,"Hands-on content writing internship: build, test and ship a real feature under a mentor."
"Matrusri Institute of Engineering and Technology, South Goa",Container Scanning,Treebo,7,0,offline,True,General,Learn industry workflows in container scanning while supporting day-to-day operations and quality checks.
"K.S.R. Institute of Technology and Science, Mangaluru",ASR,PayPal India,8,3665,offline,False,TULIP,Collaborate across teams on asr initiatives; present findings to stakeholders.
"Ideal Business School, North Delhi",Operations Consulting,Schneider Electric,7,11775,online,True,General,"Support data collection, analysis and reporting for the operations consulting practice at Sinha Ltd."
"Srinivasa College of Architecture, Thanjavur",IT Service Management,Blue Star,9,11344,online,False,CDAC,"Assist senior engineers/researchers on it service management tasks, from requirements to testing and delivery."
"Aditya School of Management, Ajmer",Human Resources,Larsen & Toubro,8,4849,offline,False,General,"Hands-on human resources internship: build, test and ship a real feature under a mentor."
"Malla Reddy Institute of Technology and Science, Coimbatore",Indoor Positioning,SAP Labs India,9,6180,online,False,General,"Hands-on indoor positioning internship: build, test and ship a real feature under a mentor."
"NMAM College of Pharmacy, Ludhiana",Leader Election,Uber India,6,3855,offline,False,General,"Hands-on leader election internship: build, test and ship a real feature under a mentor."
"Vishwakarma Institute of Pharmacy, Bhubaneswar",Database Administration,Godrej Industries,9,13890,offline,False,General,"Support data collection, analysis and reporting for the database administration practice at Agate-Saini."
"Government College of Engineering, Rajkot",Sociology Research,NTPC,9,0,online,False,General,"Support data collection, analysis and reporting for the sociology research practice at Dugal-Rege."
"Government College of Engineering, Kharagpur",War Rooms,Vodafone Idea,7,0,offline,False,General,Learn industry workflows in war rooms while supporting day-to-day operations and quality checks.
"Government College of Engineering, Durgapur",Technical Writing,ABB India,6,0,offline,False,General,Work on live projects with the Kothari-Ramachandran technical writing team; contribute to sprint deliverables and documentation.
"Government Engineering College, Chennai",Payroll Operations,Bosch India,8,6253,hybrid,True,General,Work on live projects with the Gade-Mahajan payroll operations team; contribute to sprint deliverables and documentation.
"Government College of Applied Arts, Sambalpur",Telecommunications,FedEx India,8,6435,hybrid,False,TULIP,"Support data collection, analysis and reporting for the telecommunications practice at Sodhi, Bumb and Nagy."
"Vishwakarma Institute of Technology and Science, Jorhat",Conversion Prediction,Siemens India,8,0,offline,False,General,"Support data collection, analysis and reporting for the conversion prediction practice at Walla, Devan and Balan."
"Matrusri Institute of Technology and Science, Adilabad",Airport Security,Oracle India,7,11615,offline,False,General,"Assist senior engineers/researchers on airport security tasks, from requirements to testing and delivery."
"Ideal Business School, Gurugram",Fund Management,Tata Consultancy Services,9,11511,offline,True,General,"Hands-on fund management internship: build, test and ship a real feature under a mentor."
"Sharda Business School, Mysuru",Propulsion,PayPal India,9,4033,offline,False,General,"Support data collection, analysis and reporting for the propulsion practice at Dar LLC."
"K.S.R. College of Engineering and Technology, Ghaziabad",Foundation Models,Cognizant,6,9810,offline,False,General,Collaborate across teams on foundation models initiatives; present findings to stakeholders.
"Lendi Institute of Pharmacy, Sagar",Architecture Design,PharmEasy,8,11416,offline,True,General,Learn industry workflows in architecture design while supporting day-to-day operations and quality checks.
"Government Engineering College, Siddipet",Mission Planning,Mahindra & Mahindra,9,5985,hybrid,False,General,Learn industry workflows in mission planning while supporting day-to-day operations and quality checks.
"NMAM Institute of Management Studies, Tirunelveli",Journalism,Zara India,6,4197,offline,False,CDAC,Learn industry workflows in journalism while supporting day-to-day operations and quality checks.
"Government School of Architecture, Varanasi",Retail Analytics,Razorpay,6,0,offline,False,General,"Support data collection, analysis and reporting for the retail analytics practice at Kaul, Gala and Hari."
"Vishwakarma Institute of Engineering and Technology, Bilaspur",Advertising,Stripe India,8,3090,offline,False,General,Learn industry workflows in advertising while supporting day-to-day operations and quality checks.
"Government Polytechnic, Panipat",Firmware Security,SAP Labs India,6,6775,offline,False,General,"Support data collection, analysis and reporting for the firmware security practice at Palan-Shukla."
"Thiagarajar College of Management Studies, Kolhapur",Cutover Planning,Mother Dairy,9,0,hybrid,False,General,Collaborate across teams on cutover planning initiatives; present findings to stakeholders.
"Lokmanya Institute of Engineering and Management, Kurukshetra",Category Management,Ola,6,9572,hybrid,True,General,Collaborate across teams on category management initiatives; present findings to stakeholders.
"Raghu College of Applied Arts, Junagadh",Fleet Management,UNICEF India,7,6272,offline,True,TULIP,"Support data collection, analysis and reporting for the fleet management practice at Brahmbhatt and Sons."
"Sri Sathya Sai Institute of Technology, Gandhinagar",Contrastive Learning,IBM India,9,13340,online,False,General,Learn industry workflows in contrastive learning while supporting day-to-day operations and quality checks.
"Sree Dattha Institute of Management Studies, Rohtak",Change Management,ICICI Bank,8,12264,online,False,General,Collaborate across teams on change management initiatives; present findings to stakeholders.
"Sri Indu College of Engineering and Technology, Bengaluru",Elder Care Technology,HCL Technologies,7,0,online,False,General,Learn industry workflows in elder care technology while supporting day-to-day operations and quality checks.
"Government College of Architecture, Vijayawada",Data Visualization,Hindustan Aeronautics,6,4129,offline,True,General,Learn industry workflows in data visualization while supporting day-to-day operations and quality checks.
"Symbiosis College of Engineering and Technology, Jabalpur",Fraud Scoring,PayPal India,6,0,offline,False,General,Learn industry workflows in fraud scoring while supporting day-to-day operations and quality checks.
"Sharda Business School, Mysuru",Skill Development,State Bank of India,6,0,online,False,General,"Hands-on skill development internship: build, test and ship a real feature under a mentor."
"Vishwakarma Institute of Technology and Science, Nashik",Corporate Governance,Meesho,6,3298,online,False,General,Learn industry workflows in corporate governance while supporting day-to-day operations and quality checks.
"Srinivasa College of Architecture, Thanjavur",Hydrology,Capgemini,8,8201,online,False,General,"Hands-on hydrology internship: build, test and ship a real feature under a mentor."
"Kalinga Pharmacy College, Sagar",Growth Hacking,Honeywell India,6,7507,offline,False,Indian Army,"Assist senior engineers/researchers on growth hacking tasks, from requirements to testing and delivery."
"RV Institute of Management and Technology, Chennai",Wearable Health,FedEx India,8,3660,online,False,General,Work on live projects with the Dayal LLC wearable health team; contribute to sprint deliverables and documentation.
"Andhra College of Management Studies, Junagadh",Sales and Marketing,Adidas India,9,14724,offline,True,CDAC,"Support data collection, analysis and reporting for the sales and marketing practice at Amble, Dasgupta and Chada."
"Chaitanya Institute of Engineering and Technology, Agra",Contact Center AI,FedEx India,7,0,online,True,General,Work on live projects with the Chakrabarti PLC contact center ai team; contribute to sprint deliverables and documentation.
"Siddhartha Institute of Engineering and Polytechnic, Lucknow",HVAC Design,Adani Green Energy,9,14403,offline,False,General,Collaborate across teams on hvac design initiatives; present findings to stakeholders.
"Lendi Institute of Engineering and Technology, Haldia",Carbon Capture,BHEL,8,5917,offline,False,General,"Hands-on carbon capture internship: build, test and ship a real feature under a mentor."
"Sri Indu College of Architecture, Guwahati",Criminology,Meesho,6,3265,offline,False,General,"Hands-on criminology internship: build, test and ship a real feature under a mentor."
"RV Institute of Management and Technology, Chennai",Vaccine Development,Havells,9,4192,offline,False,General,"Support data collection, analysis and reporting for the vaccine development practice at Narayanan, Gandhi and Magar."
"Government College of Engineering, Durgapur",Fundraising,upGrad,9,0,hybrid,False,General,"Assist senior engineers/researchers on fundraising tasks, from requirements to testing and delivery."
"Government Institute of Management, Puducherry",SEO,Schneider Electric,6,0,offline,False,General,"Assist senior engineers/researchers on seo tasks, from requirements to testing and delivery."
"Matrusri Institute of Engineering and Technology, South Goa",Humanitarian Logistics,upGrad,7,14770,offline,False,General,"Hands-on humanitarian logistics internship: build, test and ship a real feature under a mentor."
"Ideal College of Engineering and Technology, Jodhpur",Electric Vehicles,Practo,7,10988,offline,False,General,"Support data collection, analysis and reporting for the electric vehicles practice at Minhas, Kalita and Ahuja."
"Government Engineering College, Ajmer",Microsegmentation,Tech Mahindra,9,4527,hybrid,False,General,"Assist senior engineers/researchers on microsegmentation tasks, from requirements to testing and delivery."
"Symbiosis College of Engineering and Technology, Belagavi",Vertical Farming,Freshworks,6,6953,offline,False,General,Work on live projects with the Bhatti Ltd vertical farming team; contribute to sprint deliverables and documentation.
"Vels Institute of Engineering and Technology, Allahabad",Networking,Reliance Jio,8,4723,offline,False,General,"Hands-on networking internship: build, test and ship a real feature under a mentor."
"Government Engineering College, Bhubaneswar",Zero Trust,Nike India,8,3236,offline,False,General,"Support data collection, analysis and reporting for the zero trust practice at Rege-Balasubramanian."
"Government College of Engineering, Bhagalpur",Maritime Safety,Honeywell India,6,5083,online,False,General,"Support data collection, analysis and reporting for the maritime safety practice at Dara, D’Alia and Dube."
"Sreenidhi Institute of Engineering and Management, Bengaluru",Textile Engineering,Tata Motors,9,11329,offline,True,General,"Hands-on textile engineering internship: build, test and ship a real feature under a mentor."
"Government School of Architecture, Udaipur",Container Scanning,Bharti Airtel,7,0,online,False,General,Learn industry workflows in container scanning while supporting day-to-day operations and quality checks.
"Malla Reddy Pharmacy College, Tezpur",Customer Analytics,Bajaj Finance,9,3941,offline,False,General,Collaborate across teams on customer analytics initiatives; present findings to stakeholders.
"Amity Institute of Technology and Science, Salem",Operations Consulting,Capgemini,8,5232,online,False,General,Collaborate across teams on operations consulting initiatives; present findings to stakeholders.
"Thapar School of Business Administration, Vijayawada",Technical Writing,Amazon India,7,10807,offline,True,General,"Work on live projects with the Das, Walia and Sahni technical writing team; contribute to sprint deliverables and documentation."
"Government College of Engineering, Nizamabad",Distributed Locking,Siemens India,9,14701,offline,False,General,"Assist senior engineers/researchers on distributed locking tasks, from requirements to testing and delivery."
"Galgotias College of Engineering, Agra",Airport Security,Siemens Gamesa,7,9767,offline,False,Indian Army,"Assist senior engineers/researchers on airport security tasks, from requirements to testing and delivery."
"Government College of Engineering, Salem",Structural Biology,Porter,6,0,online,False,General,Learn industry workflows in structural biology while supporting day-to-day operations and quality checks.
"Malla Reddy Institute of Technology and Science, Coimbatore",Pharmaceutical Research,TVS Motor,8,14975,hybrid,False,General,Collaborate across teams on pharmaceutical research initiatives; present findings to stakeholders.
"Government Engineering College, Kolhapur",Policy Analysis,JSW Steel,7,11697,hybrid,False,CDAC,"Support data collection, analysis and reporting for the policy analysis practice at Nagi, Rajan and Samra."
"Government Engineering College, Ajmer",Corporate Law,Vedanta,7,0,online,False,General,Work on live projects with the Dyal Inc corporate law team; contribute to sprint deliverables and documentation.
"Reva Institute of Technology, Gwalior",Mining Engineering,Indian Army (Technical),9,0,online,False,General,"Assist senior engineers/researchers on mining engineering tasks, from requirements to testing and delivery."
"Vasavi College of Engineering and Technology, Purnia",Reliability Engineering,Urban Company,9,8929,online,False,Indian Army,Learn industry workflows in reliability engineering while supporting day-to-day operations and quality checks.
"Malla Reddy School of Architecture, Karaikal",Synthetic Biology,Tata Power,6,0,offline,False,General,Collaborate across teams on synthetic biology initiatives; present findings to stakeholders.
"Sreenidhi College of Engineering, Amravati",Data Visualization,Hero MotoCorp,8,11081,offline,False,General,"Support data collection, analysis and reporting for the data visualization practice at Mahal Group."
"Kalasalingam School of Planning and Architecture, Lucknow",Plasma Physics,Crompton,9,9035,hybrid,False,General,Work on live projects with the Maharaj Ltd plasma physics team; contribute to sprint deliverables and documentation.
"Manipal Institute of Management Studies, Karimnagar",Sustainability Consulting,DRDO,8,0,offline,False,General,"Support data collection, analysis and reporting for the sustainability consulting practice at Sharma-Uppal."
"Srinivasa Institute of Engineering and Management, Anantapur",Graph Databases,Capgemini,6,10738,offline,True,CDAC,"Assist senior engineers/researchers on graph databases tasks, from requirements to testing and delivery."
